Llamada,Bloque,Ítem,Pauta,Descripción,Respuestas,PENC,PECUF,PECC,PECN,Sentimiento Cliente,Sentimiento Asesor
Conv_006,,Presentación de Beneficios,¿El agente destacó claramente los beneficios del producto/servicio en relación a las necesidades del cliente?,"El agente debe presentar los beneficios del producto o servicio en términos que resuenen con las necesidades específicas del cliente, en lugar de simplemente listar características.
Ejemplo: ""Este producto le ayudará a ahorrar tiempo porque...""",No,X,,,,Negativo -,Positivo +
Conv_006,,Veracidad de la información,¿Informa de los productos de manera correcta y completa?,A lo largo de toda la llamada se informa al cliente de manera correcta y completa sin inducir a confusión u omitiendo información relevante para la contratación,Sí,,X,,,Positivo -,Positivo +
Conv_006,,Manejo de Objeciones,¿El agente manejó adecuadamente las objeciones del cliente?,"El agente debe abordar cualquier preocupación u objeción del cliente de manera efectiva, proporcionando soluciones o aclaraciones que ayuden a superar la resistencia del cliente a la compra.
Ejemplo: ""Entiendo su preocupación por el precio, pero considere que está invirtiendo en calidad y durabilidad.""",No aplica,,,,X,Neutral -,Positivo +
Conv_006,,Cierre de la Venta,¿El agente realizó un intento efectivo para cerrar la venta?,"El agente debe realizar un esfuerzo claro para cerrar la venta, utilizando técnicas de cierre que alienten al cliente a tomar una decisión positiva.
Ejemplo: ""¿Le gustaría proceder con la compra hoy para aprovechar esta oferta especial?""",No,X,,,,Negativo +,Negativo -
Conv_006,,Upselling/Cross-selling,¿El agente ofreció productos o servicios adicionales de manera apropiada?,"El agente debe identificar oportunidades para ofrecer productos o servicios adicionales que puedan ser de interés para el cliente, haciéndolo de manera natural y relevante.
Ejemplo: ""Veo que está interesado en este producto, también tenemos una versión mejorada que incluye...""",No aplica,,,,X,Negativo -,Neutral -
Conv_006,Cumplimiento de Políticas y Procedimientos,Cumplimiento del Script,¿El agente siguió el script establecido sin desviaciones inapropiadas?,"El agente debe seguir el guion establecido, asegurándose de cubrir todos los puntos requeridos sin desviarse en temas no relacionados, a menos que sea necesario para personalizar la llamada.
Ejemplo: Seguir el guion pero adaptar la conversación según las respuestas del cliente.",Sí,,X,,,Negativo +,Neutral +
Conv_006,,Aceptación del cliente,¿Verifica la aceptación del cliente?,"En caso de venta, el cliente es consciente de la contratación",No,X,,,,Positivo -,Neutral -
Conv_006,,Uso de Herramientas del Sistema,¿El agente utilizó correctamente las herramientas del sistema durante la llamada?,"El agente debe utilizar las herramientas del sistema (como CRM o bases de datos) de manera eficiente para obtener y registrar información relevante sin causar retrasos o interrupciones en la conversación.
Ejemplo: Buscar rápidamente la información del cliente mientras continúa la conversación.",Sí,,X,,,Negativo +,Negativo +
Conv_006,,Cierre de contacto,¿El agente tipifica correctamente el cierre del contacto?,"El agente debe asegurarse de que la llamada se cierre correctamente en el sistema de gestión (CRM), marcándola como completada para evitar duplicaciones o seguimientos innecesarios.
Ejemplo: ""Cerrar la llamada en el CRM después de asegurarse de que todos los datos y notas están correctamente registrados.""",No aplica,,,,X,Negativo +,Positivo +
Conv_006,,Lectura del texto legal,¿Hace lectura del texto legal antes de presentar la oferta?,"En caso de venta, si hace lectura del texto legal correctamente",Sí,,X,,,Neutral -,Negativo -
Conv_006,,Mentira y/o engaño,¿Realiza la venta adecuadamente? (Sin utilizar mentira y/o engaño),El agente realiza la venta adecuadamente sin engañar y/o mentir al cliente en ningún momento de la llamada,Sí,,X,,,Negativo +,Positivo +
Conv_006,,Cumplimiento de Normas Regulatorias (LOPD),¿El agente cumplió con las normativas legales y de privacidad aplicables?,"El agente debe cumplir con todas las normativas legales y de privacidad durante la llamada, incluyendo la obtención de consentimientos necesarios y el manejo adecuado de la información personal.
Ejemplo: Informar al cliente sobre la grabación de la llamada y pedir su consentimiento.",No aplica,,,,X,Neutral -,Negativo +
Conv_006,,Tomador del seguro,¿La contratación se hace con el tomador del seguro?,"En caso de venta, el agente habla directamente con el tomador del seguro y no con un interlocutor, familiar, conocido...",Sí,,X,,,Positivo +,Neutral +
Conv_006,,Cuestionario de salud,¿El agente rellena el cuestionario de salud de manera correcta y completa?,"En caso de venta, el agente rellena el cuestionario de salud de manera correcta y completa tal y como le responde el cliente sin omitir ninguna pregunta",No aplica,,,,X,Negativo -,Negativo +
Conv_006,,Informar llamada grabada,¿El agente informa al cliente de que la llamada está siendo grabada al inicio de la conversación?,Al inicio de la conversación el agente debe informar de que la conversación está siendo grabada por motivos de calidad y seguridad,No,X,,,,Negativo +,Negativo +
Conv_006,Comentarios Adicionales,Observaciones del Evaluador,(Espacio para comentarios adicionales o sugerencias),,Sí,,X,,,Negativo +,Positivo +
Conv_007,Comunicación,Saludo y Presentación,¿El agente se presenta siguiendo el estándar establecido (según el argumentario correspondiente)?,"El agente debe iniciar la llamada con un saludo adecuado, siguiendo el estándar establecido para el servicio. Esto establece un tono profesional y cortés desde el comienzo.",Sí,,X,,,Negativo +,Positivo +
Conv_007,,Claridad en la Comunicación,¿El agente se expresó de manera clara y comprensible?,"El agente debe hablar de manera clara y concisa, evitando jerga técnica innecesaria o expresiones confusas. El lenguaje debe ser accesible y comprensible para el cliente, asegurando que el mensaje se transmita correctamente.
Ejemplo: Explicar una oferta sin rodeos y utilizando términos sencillos.",Sí,,X,,,Negativo +,Negativo -
Conv_007,,Personaliza en la llamada,¿El agente personaliza a lo largo de toda la llamada?,"El agente adapta su enfoque a las necesidades y características del cliente. Esto incluye usar el nombre del cliente, entender y responder de manera específica a sus inquietudes, ofrecer soluciones relevantes según su situación y mantener un tono de voz empático y cordial. La personalización implica que el agente no utilice respuestas genéricas, sino que haga sentir al cliente que su interacción es única, lo que mejora la experiencia del usuario y fortalece la relación con la marca.

El agente adapta la conversación para hacerla más cercana y relevante para el cliente. Esto incluye:
- Usar el nombre del cliente en lugar de dirigirse a él de forma genérica.
- Mostrar interés genuino por las necesidades del cliente, haciendo preguntas relacionadas con su situación o contexto.
- Ajustar el tono, el lenguaje y el ritmo según el perfil del cliente, ya sea formal o más relajado.
- Referirse a interacciones previas, si las hubiera, o conectar con algún detalle que el cliente haya mencionado durante la llamada.",Sí,,X,,,Positivo +,Neutral +
Conv_007,,Escucha Activa,"¿El agente demostró habilidades de escucha activa, respondiendo adecuadamente a las necesidades del cliente?","El agente debe mostrar que está escuchando atentamente al cliente, respondiendo a sus preguntas y preocupaciones de manera adecuada. Esto incluye hacer pausas para permitir que el cliente hable y responder directamente a lo que dice.
Ejemplo: Parafrasear las preocupaciones del cliente para confirmar la comprensión.",Sí,,X,,,Positivo +,Positivo -
Conv_007,,Cortesía,¿El agente mantuvo un tono cortés y profesional durante toda la llamada?,"El agente debe mantener un tono respetuoso y profesional durante toda la llamada, evitando interrupciones, lenguaje inapropiado o un tono brusco.
Ejemplo: Mantener la calma y ser amable incluso si el cliente está frustrado.",Sí,,X,,,Positivo -,Positivo +
Conv_007,Conocimiento del Producto y Técnicas de Venta,Conocimiento del Producto/Servicio,¿El agente demostró un buen conocimiento del producto o servicio ofrecido?,"El agente debe demostrar un sólido conocimiento del producto o servicio que está vendiendo, pudiendo responder a cualquier pregunta que el cliente pueda tener.
Ejemplo: Explicar las características del producto con detalle y confianza.",No,X,,,,Positivo +,Positivo -
Conv_007,,Identificación de Necesidades,¿El agente identificó correctamente las necesidades del cliente antes de ofrecer el producto/servicio?,"El agente debe hacer preguntas abiertas para entender las necesidades y deseos del cliente antes de ofrecer un producto o servicio.
Ejemplo: ""¿Qué características busca en este tipo de producto?""",Sí,,X,,,Positivo +,Positivo +
Conv_007,,Presentación de Beneficios,¿El agente destacó claramente los beneficios del producto/servicio en relación a las necesidades del cliente?,"El agente debe presentar los beneficios del producto o servicio en términos que resuenen con las necesidades específicas del cliente, en lugar de simplemente listar características.
Ejemplo: ""Este producto le ayudará a ahorrar tiempo porque...""",Sí,,X,,,Negativo +,Neutral +
Conv_007,,Veracidad de la información,¿Informa de los productos de manera correcta y completa?,A lo largo de toda la llamada se informa al cliente de manera correcta y completa sin inducir a confusión u omitiendo información relevante para la contratación,Sí,,X,,,Neutral +,Negativo -
Conv_007,,Manejo de Objeciones,¿El agente manejó adecuadamente las objeciones del cliente?,"El agente debe abordar cualquier preocupación u objeción del cliente de manera efectiva, proporcionando soluciones o aclaraciones que ayuden a superar la resistencia del cliente a la compra.
Ejemplo: ""Entiendo su preocupación por el precio, pero considere que está invirtiendo en calidad y durabilidad.""",No aplica,,,,X,Neutral +,Negativo -
Conv_007,,Cierre de la Venta,¿El agente realizó un intento efectivo para cerrar la venta?,"El agente debe realizar un esfuerzo claro para cerrar la venta, utilizando técnicas de cierre que alienten al cliente a tomar una decisión positiva.
Ejemplo: ""¿Le gustaría proceder con la compra hoy para aprovechar esta oferta especial?""",No aplica,,,,X,Negativo -,Neutral -
Conv_007,,Upselling/Cross-selling,¿El agente ofreció productos o servicios adicionales de manera apropiada?,"El agente debe identificar oportunidades para ofrecer productos o servicios adicionales que puedan ser de interés para el cliente, haciéndolo de manera natural y relevante.
Ejemplo: ""Veo que está interesado en este producto, también tenemos una versión mejorada que incluye...""",No,X,,,,Negativo -,Positivo +
Conv_007,Cumplimiento de Políticas y Procedimientos,Cumplimiento del Script,¿El agente siguió el script establecido sin desviaciones inapropiadas?,"El agente debe seguir el guion establecido, asegurándose de cubrir todos los puntos requeridos sin desviarse en temas no relacionados, a menos que sea necesario para personalizar la llamada.
Ejemplo: Seguir el guion pero adaptar la conversación según las respuestas del cliente.",No,X,,,,Positivo +,Negativo +
Conv_007,,Aceptación del cliente,¿Verifica la aceptación del cliente?,"En caso de venta, el cliente es consciente de la contratación",Sí,,X,,,Positivo -,Neutral +
Conv_007,,Uso de Herramientas del Sistema,¿El agente utilizó correctamente las herramientas del sistema durante la llamada?,"El agente debe utilizar las herramientas del sistema (como CRM o bases de datos) de manera eficiente para obtener y registrar información relevante sin causar retrasos o interrupciones en la conversación.
Ejemplo: Buscar rápidamente la información del cliente mientras continúa la conversación.",No aplica,,,,X,Positivo +,Positivo -
Conv_007,,Cierre de contacto,¿El agente tipifica correctamente el cierre del contacto?,"El agente debe asegurarse de que la llamada se cierre correctamente en el sistema de gestión (CRM), marcándola como completada para evitar duplicaciones o seguimientos innecesarios.
Ejemplo: ""Cerrar la llamada en el CRM después de asegurarse de que todos los datos y notas están correctamente registrados.""",No aplica,,,,X,Neutral +,Positivo +
Conv_007,,Lectura del texto legal,¿Hace lectura del texto legal antes de presentar la oferta?,"En caso de venta, si hace lectura del texto legal correctamente",No,X,,,,Negativo +,Neutral -
Conv_007,,Mentira y/o engaño,¿Realiza la venta adecuadamente? (Sin utilizar mentira y/o engaño),El agente realiza la venta adecuadamente sin engañar y/o mentir al cliente en ningún momento de la llamada,No aplica,,,,X,Negativo +,Neutral -
Conv_007,,Cumplimiento de Normas Regulatorias (LOPD),¿El agente cumplió con las normativas legales y de privacidad aplicables?,"El agente debe cumplir con todas las normativas legales y de privacidad durante la llamada, incluyendo la obtención de consentimientos necesarios y el manejo adecuado de la información personal.
Ejemplo: Informar al cliente sobre la grabación de la llamada y pedir su consentimiento.",No aplica,,,,X,Positivo -,Neutral -
Conv_007,,Tomador del seguro,¿La contratación se hace con el tomador del seguro?,"En caso de venta, el agente habla directamente con el tomador del seguro y no con un interlocutor, familiar, conocido...",Sí,,X,,,Neutral +,Positivo +
Conv_007,,Cuestionario de salud,¿El agente rellena el cuestionario de salud de manera correcta y completa?,"En caso de venta, el agente rellena el cuestionario de salud de manera correcta y completa tal y como le responde el cliente sin omitir ninguna pregunta",No aplica,,,,X,Neutral -,Negativo -
Conv_007,,Informar llamada grabada,¿El agente informa al cliente de que la llamada está siendo grabada al inicio de la conversación?,Al inicio de la conversación el agente debe informar de que la conversación está siendo grabada por motivos de calidad y seguridad,Sí,,X,,,Positivo -,Neutral -
Conv_007,Comentarios Adicionales,Observaciones del Evaluador,(Espacio para comentarios adicionales o sugerencias),,Sí,,X,,,Negativo -,Negativo +
Conv_008,Comunicación,Saludo y Presentación,¿El agente se presenta siguiendo el estándar establecido (según el argumentario correspondiente)?,"El agente debe iniciar la llamada con un saludo adecuado, siguiendo el estándar establecido para el servicio. Esto establece un tono profesional y cortés desde el comienzo.",No,X,,,,Negativo +,Positivo -
Conv_008,,Claridad en la Comunicación,¿El agente se expresó de manera clara y comprensible?,"El agente debe hablar de manera clara y concisa, evitando jerga técnica innecesaria o expresiones confusas. El lenguaje debe ser accesible y comprensible para el cliente, asegurando que el mensaje se transmita correctamente.
Ejemplo: Explicar una oferta sin rodeos y utilizando términos sencillos.",No aplica,,,,X,Neutral -,Negativo -
Conv_008,,Personaliza en la llamada,¿El agente personaliza a lo largo de toda la llamada?,"El agente adapta su enfoque a las necesidades y características del cliente. Esto incluye usar el nombre del cliente, entender y responder de manera específica a sus inquietudes, ofrecer soluciones relevantes según su situación y mantener un tono de voz empático y cordial. La personalización implica que el agente no utilice respuestas genéricas, sino que haga sentir al cliente que su interacción es única, lo que mejora la experiencia del usuario y fortalece la relación con la marca.

El agente adapta la conversación para hacerla más cercana y relevante para el cliente. Esto incluye:
- Usar el nombre del cliente en lugar de dirigirse a él de forma genérica.
- Mostrar interés genuino por las necesidades del cliente, haciendo preguntas relacionadas con su situación o contexto.
- Ajustar el tono, el lenguaje y el ritmo según el perfil del cliente, ya sea formal o más relajado.
- Referirse a interacciones previas, si las hubiera, o conectar con algún detalle que el cliente haya mencionado durante la llamada.",No,X,,,,Positivo -,Positivo -
Conv_008,,Escucha Activa,"¿El agente demostró habilidades de escucha activa, respondiendo adecuadamente a las necesidades del cliente?","El agente debe mostrar que está escuchando atentamente al cliente, respondiendo a sus preguntas y preocupaciones de manera adecuada. Esto incluye hacer pausas para permitir que el cliente hable y responder directamente a lo que dice.
Ejemplo: Parafrasear las preocupaciones del cliente para confirmar la comprensión.",No,X,,,,Positivo -,Negativo +
Conv_008,,Cortesía,¿El agente mantuvo un tono cortés y profesional durante toda la llamada?,"El agente debe mantener un tono respetuoso y profesional durante toda la llamada, evitando interrupciones, lenguaje inapropiado o un tono brusco.
Ejemplo: Mantener la calma y ser amable incluso si el cliente está frustrado.",Sí,,X,,,Positivo +,Positivo -
Conv_008,Conocimiento del Producto y Técnicas de Venta,Conocimiento del Producto/Servicio,¿El agente demostró un buen conocimiento del producto o servicio ofrecido?,"El agente debe demostrar un sólido conocimiento del producto o servicio que está vendiendo, pudiendo responder a cualquier pregunta que el cliente pueda tener.
Ejemplo: Explicar las características del producto con detalle y confianza.",No,X,,,,Positivo -,Neutral -
Conv_008,,Identificación de Necesidades,¿El agente identificó correctamente las necesidades del cliente antes de ofrecer el producto/servicio?,"El agente debe hacer preguntas abiertas para entender las necesidades y deseos del cliente antes de ofrecer un producto o servicio.
Ejemplo: ""¿Qué características busca en este tipo de producto?""",No,X,,,,Neutral -,Neutral -
Conv_008,,Presentación de Beneficios,¿El agente destacó claramente los beneficios del producto/servicio en relación a las necesidades del cliente?,"El agente debe presentar los beneficios del producto o servicio en términos que resuenen con las necesidades específicas del cliente, en lugar de simplemente listar características.
Ejemplo: ""Este producto le ayudará a ahorrar tiempo porque...""",No aplica,,,,X,Positivo -,Negativo +
Conv_008,,Veracidad de la información,¿Informa de los productos de manera correcta y completa?,A lo largo de toda la llamada se informa al cliente de manera correcta y completa sin inducir a confusión u omitiendo información relevante para la contratación,Sí,,X,,,Positivo +,Neutral +
Conv_008,,Manejo de Objeciones,¿El agente manejó adecuadamente las objeciones del cliente?,"El agente debe abordar cualquier preocupación u objeción del cliente de manera efectiva, proporcionando soluciones o aclaraciones que ayuden a superar la resistencia del cliente a la compra.
Ejemplo: ""Entiendo su preocupación por el precio, pero considere que está invirtiendo en calidad y durabilidad.""",No,X,,,,Negativo -,Negativo +
Conv_008,,Cierre de la Venta,¿El agente realizó un intento efectivo para cerrar la venta?,"El agente debe realizar un esfuerzo claro para cerrar la venta, utilizando técnicas de cierre que alienten al cliente a tomar una decisión positiva.
Ejemplo: ""¿Le gustaría proceder con la compra hoy para aprovechar esta oferta especial?""",No,X,,,,Positivo -,Negativo +
Conv_008,,Upselling/Cross-selling,¿El agente ofreció productos o servicios adicionales de manera apropiada?,"El agente debe identificar oportunidades para ofrecer productos o servicios adicionales que puedan ser de interés para el cliente, haciéndolo de manera natural y relevante.
Ejemplo: ""Veo que está interesado en este producto, también tenemos una versión mejorada que incluye...""",Sí,,X,,,Neutral +,Positivo +
Conv_008,Cumplimiento de Políticas y Procedimientos,Cumplimiento del Script,¿El agente siguió el script establecido sin desviaciones inapropiadas?,"El agente debe seguir el guion establecido, asegurándose de cubrir todos los puntos requeridos sin desviarse en temas no relacionados, a menos que sea necesario para personalizar la llamada.
Ejemplo: Seguir el guion pero adaptar la conversación según las respuestas del cliente.",No aplica,,,,X,Negativo -,Positivo +
Conv_008,,Aceptación del cliente,¿Verifica la aceptación del cliente?,"En caso de venta, el cliente es consciente de la contratación",No,X,,,,Neutral +,Neutral +
Conv_008,,Uso de Herramientas del Sistema,¿El agente utilizó correctamente las herramientas del sistema durante la llamada?,"El agente debe utilizar las herramientas del sistema (como CRM o bases de datos) de manera eficiente para obtener y registrar información relevante sin causar retrasos o interrupciones en la conversación.
Ejemplo: Buscar rápidamente la información del cliente mientras continúa la conversación.",No,X,,,,Neutral +,Negativo +
Conv_008,,Cierre de contacto,¿El agente tipifica correctamente el cierre del contacto?,"El agente debe asegurarse de que la llamada se cierre correctamente en el sistema de gestión (CRM), marcándola como completada para evitar duplicaciones o seguimientos innecesarios.
Ejemplo: ""Cerrar la llamada en el CRM después de asegurarse de que todos los datos y notas están correctamente registrados.""",No aplica,,,,X,Negativo -,Positivo +
Conv_008,,Lectura del texto legal,¿Hace lectura del texto legal antes de presentar la oferta?,"En caso de venta, si hace lectura del texto legal correctamente",No,X,,,,Positivo -,Negativo +
Conv_008,,Mentira y/o engaño,¿Realiza la venta adecuadamente? (Sin utilizar mentira y/o engaño),El agente realiza la venta adecuadamente sin engañar y/o mentir al cliente en ningún momento de la llamada,No aplica,,,,X,Neutral -,Neutral +
Conv_008,,Cumplimiento de Normas Regulatorias (LOPD),¿El agente cumplió con las normativas legales y de privacidad aplicables?,"El agente debe cumplir con todas las normativas legales y de privacidad durante la llamada, incluyendo la obtención de consentimientos necesarios y el manejo adecuado de la información personal.
Ejemplo: Informar al cliente sobre la grabación de la llamada y pedir su consentimiento.",No aplica,,,,X,Neutral +,Positivo +
Conv_008,,Tomador del seguro,¿La contratación se hace con el tomador del seguro?,"En caso de venta, el agente habla directamente con el tomador del seguro y no con un interlocutor, familiar, conocido...",No aplica,,,,X,Neutral -,Positivo +
Conv_008,,Cuestionario de salud,¿El agente rellena el cuestionario de salud de manera correcta y completa?,"En caso de venta, el agente rellena el cuestionario de salud de manera correcta y completa tal y como le responde el cliente sin omitir ninguna pregunta",No,X,,,,Positivo -,Positivo -
Conv_008,,Informar llamada grabada,¿El agente informa al cliente de que la llamada está siendo grabada al inicio de la conversación?,Al inicio de la conversación el agente debe informar de que la conversación está siendo grabada por motivos de calidad y seguridad,No,X,,,,Positivo -,Negativo -
Conv_008,Comentarios Adicionales,Observaciones del Evaluador,(Espacio para comentarios adicionales o sugerencias),,No aplica,,,,X,Neutral -,Neutral -
Conv_009,Comunicación,Saludo y Presentación,¿El agente se presenta siguiendo el estándar establecido (según el argumentario correspondiente)?,"El agente debe iniciar la llamada con un saludo adecuado, siguiendo el estándar establecido para el servicio. Esto establece un tono profesional y cortés desde el comienzo.",No aplica,,,,X,Neutral -,Negativo +
Conv_009,,Claridad en la Comunicación,¿El agente se expresó de manera clara y comprensible?,"El agente debe hablar de manera clara y concisa, evitando jerga técnica innecesaria o expresiones confusas. El lenguaje debe ser accesible y comprensible para el cliente, asegurando que el mensaje se transmita correctamente.
Ejemplo: Explicar una oferta sin rodeos y utilizando términos sencillos.",No aplica,,,,X,Neutral +,Neutral +
Conv_009,,Personaliza en la llamada,¿El agente personaliza a lo largo de toda la llamada?,"El agente adapta su enfoque a las necesidades y características del cliente. Esto incluye usar el nombre del cliente, entender y responder de manera específica a sus inquietudes, ofrecer soluciones relevantes según su situación y mantener un tono de voz empático y cordial. La personalización implica que el agente no utilice respuestas genéricas, sino que haga sentir al cliente que su interacción es única, lo que mejora la experiencia del usuario y fortalece la relación con la marca.

El agente adapta la conversación para hacerla más cercana y relevante para el cliente. Esto incluye:
- Usar el nombre del cliente en lugar de dirigirse a él de forma genérica.
- Mostrar interés genuino por las necesidades del cliente, haciendo preguntas relacionadas con su situación o contexto.
- Ajustar el tono, el lenguaje y el ritmo según el perfil del cliente, ya sea formal o más relajado.
- Referirse a interacciones previas, si las hubiera, o conectar con algún detalle que el cliente haya mencionado durante la llamada.",No,X,,,,Negativo +,Negativo +
Conv_009,,Escucha Activa,"¿El agente demostró habilidades de escucha activa, respondiendo adecuadamente a las necesidades del cliente?","El agente debe mostrar que está escuchando atentamente al cliente, respondiendo a sus preguntas y preocupaciones de manera adecuada. Esto incluye hacer pausas para permitir que el cliente hable y responder directamente a lo que dice.
Ejemplo: Parafrasear las preocupaciones del cliente para confirmar la comprensión.",No,X,,,,Positivo +,Negativo +
Conv_009,,Cortesía,¿El agente mantuvo un tono cortés y profesional durante toda la llamada?,"El agente debe mantener un tono respetuoso y profesional durante toda la llamada, evitando interrupciones, lenguaje inapropiado o un tono brusco.
Ejemplo: Mantener la calma y ser amable incluso si el cliente está frustrado.",No aplica,,,,X,Neutral -,Negativo +
Conv_009,Conocimiento del Producto y Técnicas de Venta,Conocimiento del Producto/Servicio,¿El agente demostró un buen conocimiento del producto o servicio ofrecido?,"El agente debe demostrar un sólido conocimiento del producto o servicio que está vendiendo, pudiendo responder a cualquier pregunta que el cliente pueda tener.
Ejemplo: Explicar las características del producto con detalle y confianza.",No aplica,,,,X,Neutral +,Neutral +
Conv_009,,Identificación de Necesidades,¿El agente identificó correctamente las necesidades del cliente antes de ofrecer el producto/servicio?,"El agente debe hacer preguntas abiertas para entender las necesidades y deseos del cliente antes de ofrecer un producto o servicio.
Ejemplo: ""¿Qué características busca en este tipo de producto?""",Sí,,X,,,Neutral -,Neutral -
Conv_009,,Presentación de Beneficios,¿El agente destacó claramente los beneficios del producto/servicio en relación a las necesidades del cliente?,"El agente debe presentar los beneficios del producto o servicio en términos que resuenen con las necesidades específicas del cliente, en lugar de simplemente listar características.
Ejemplo: ""Este producto le ayudará a ahorrar tiempo porque...""",Sí,,X,,,Negativo -,Negativo +
Conv_009,,Veracidad de la información,¿Informa de los productos de manera correcta y completa?,A lo largo de toda la llamada se informa al cliente de manera correcta y completa sin inducir a confusión u omitiendo información relevante para la contratación,No aplica,,,,X,Neutral +,Negativo -
Conv_009,,Manejo de Objeciones,¿El agente manejó adecuadamente las objeciones del cliente?,"El agente debe abordar cualquier preocupación u objeción del cliente de manera efectiva, proporcionando soluciones o aclaraciones que ayuden a superar la resistencia del cliente a la compra.
Ejemplo: ""Entiendo su preocupación por el precio, pero considere que está invirtiendo en calidad y durabilidad.""",No,X,,,,Neutral +,Positivo +
Conv_009,,Cierre de la Venta,¿El agente realizó un intento efectivo para cerrar la venta?,"El agente debe realizar un esfuerzo claro para cerrar la venta, utilizando técnicas de cierre que alienten al cliente a tomar una decisión positiva.
Ejemplo: ""¿Le gustaría proceder con la compra hoy para aprovechar esta oferta especial?""",No aplica,,,,X,Neutral -,Positivo -
Conv_009,,Upselling/Cross-selling,¿El agente ofreció productos o servicios adicionales de manera apropiada?,"El agente debe identificar oportunidades para ofrecer productos o servicios adicionales que puedan ser de interés para el cliente, haciéndolo de manera natural y relevante.
Ejemplo: ""Veo que está interesado en este producto, también tenemos una versión mejorada que incluye...""",No aplica,,,,X,Positivo -,Neutral -
Conv_009,Cumplimiento de Políticas y Procedimientos,Cumplimiento del Script,¿El agente siguió el script establecido sin desviaciones inapropiadas?,"El agente debe seguir el guion establecido, asegurándose de cubrir todos los puntos requeridos sin desviarse en temas no relacionados, a menos que sea necesario para personalizar la llamada.
Ejemplo: Seguir el guion pero adaptar la conversación según las respuestas del cliente.",No,X,,,,Neutral -,Neutral -
Conv_009,,Aceptación del cliente,¿Verifica la aceptación del cliente?,"En caso de venta, el cliente es consciente de la contratación",No,X,,,,Positivo -,Negativo +
Conv_009,,Uso de Herramientas del Sistema,¿El agente utilizó correctamente las herramientas del sistema durante la llamada?,"El agente debe utilizar las herramientas del sistema (como CRM o bases de datos) de manera eficiente para obtener y registrar información relevante sin causar retrasos o interrupciones en la conversación.
Ejemplo: Buscar rápidamente la información del cliente mientras continúa la conversación.",No aplica,,,,X,Neutral -,Neutral +
Conv_009,,Cierre de contacto,¿El agente tipifica correctamente el cierre del contacto?,"El agente debe asegurarse de que la llamada se cierre correctamente en el sistema de gestión (CRM), marcándola como completada para evitar duplicaciones o seguimientos innecesarios.
Ejemplo: ""Cerrar la llamada en el CRM después de asegurarse de que todos los datos y notas están correctamente registrados.""",No aplica,,,,X,Neutral -,Neutral -
Conv_009,,Lectura del texto legal,¿Hace lectura del texto legal antes de presentar la oferta?,"En caso de venta, si hace lectura del texto legal correctamente",No,X,,,,Neutral -,Positivo -
Conv_009,,Mentira y/o engaño,¿Realiza la venta adecuadamente? (Sin utilizar mentira y/o engaño),El agente realiza la venta adecuadamente sin engañar y/o mentir al cliente en ningún momento de la llamada,No aplica,,,,X,Negativo -,Positivo -
Conv_009,,Cumplimiento de Normas Regulatorias (LOPD),¿El agente cumplió con las normativas legales y de privacidad aplicables?,"El agente debe cumplir con todas las normativas legales y de privacidad durante la llamada, incluyendo la obtención de consentimientos necesarios y el manejo adecuado de la información personal.
Ejemplo: Informar al cliente sobre la grabación de la llamada y pedir su consentimiento.",Sí,,X,,,Neutral -,Negativo -
Conv_009,,Tomador del seguro,¿La contratación se hace con el tomador del seguro?,"En caso de venta, el agente habla directamente con el tomador del seguro y no con un interlocutor, familiar, conocido...",Sí,,X,,,Positivo +,Negativo -
Conv_009,,Cuestionario de salud,¿El agente rellena el cuestionario de salud de manera correcta y completa?,"En caso de venta, el agente rellena el cuestionario de salud de manera correcta y completa tal y como le responde el cliente sin omitir ninguna pregunta",Sí,,X,,,Positivo +,Neutral +
Conv_009,,Informar llamada grabada,¿El agente informa al cliente de que la llamada está siendo grabada al inicio de la conversación?,Al inicio de la conversación el agente debe informar de que la conversación está siendo grabada por motivos de calidad y seguridad,Sí,,X,,,Negativo +,Negativo +
Conv_009,Comentarios Adicionales,Observaciones del Evaluador,(Espacio para comentarios adicionales o sugerencias),,No,X,,,,Negativo +,Positivo -
Conv_010,Comunicación,Saludo y Presentación,¿El agente se presenta siguiendo el estándar establecido (según el argumentario correspondiente)?,"El agente debe iniciar la llamada con un saludo adecuado, siguiendo el estándar establecido para el servicio. Esto establece un tono profesional y cortés desde el comienzo.",Sí,,X,,,Negativo -,Positivo +
Conv_010,,Claridad en la Comunicación,¿El agente se expresó de manera clara y comprensible?,"El agente debe hablar de manera clara y concisa, evitando jerga técnica innecesaria o expresiones confusas. El lenguaje debe ser accesible y comprensible para el cliente, asegurando que el mensaje se transmita correctamente.
Ejemplo: Explicar una oferta sin rodeos y utilizando términos sencillos.",Sí,,X,,,Positivo +,Positivo -
